Number_Of_Vertices,Running_Time_In_Microseconds
3,9.2
4,11.35
5,12.35
6,17.65
7,17.9
8,21.05
9,21.3
10,26.25
11,37.75
12,34.15
13,32.7
14,35.75
15,37.4
16,47.55
17,43.25
18,48.0
19,53.0
20,61.15
21,59.85
22,72.75
23,63.25
24,69.0
25,73.5
26,90.55
27,87.05
28,91.55
29,92.55
30,101.65
31,104.25
32,110.05
33,112.4
34,111.75
35,120.55
36,129.25
37,140.25
38,140.8
39,139.6
40,146.25
41,144.7
42,150.65
43,163.0
44,174.3
45,161.95
46,165.1
47,166.7
48,187.45
49,184.2
50,188.25
51,211.7
52,219.5
53,221.05
54,229.05
55,220.95
56,229.8
57,229.85
58,242.4
59,257.4
60,260.4
61,250.3
62,261.2
63,253.35
64,282.35
65,262.3
66,281.35
67,295.4
68,303.55
69,322.2
70,310.0
71,314.75
72,328.15
73,333.7
74,356.7
75,364.75
76,405.45
77,392.5
78,370.6
79,378.25
80,387.45
81,388.45
82,380.35
83,389.35
84,439.9
85,446.65
86,437.5
87,422.35
88,507.15
89,549.55
90,528.3
91,505.9
92,557.6
93,547.75
94,571.75
95,546.45
96,529.0
97,542.35
98,591.65
99,576.3
100,560.35
101,559.25
102,599.5
103,602.75
104,592.75
105,617.6
106,604.8
107,644.35
108,662.65
109,657.95
110,673.05
111,664.4
112,665.15
113,681.65
114,704.95
115,714.55
116,711.9
117,736.55
118,758.65
119,844.0
120,754.65
121,859.2
122,804.9
123,800.85
124,826.25
125,822.75
126,837.05
127,823.85
128,896.3
129,863.4
130,881.9
131,996.85
132,983.95
133,980.05
134,911.5
135,1079.95
136,1072.1
137,1073.1
138,1069.4
139,1028.85
140,1085.4
141,1064.7
142,1122.45
143,1117.1
144,1130.7
145,1137.15
146,1144.95
147,1134.35
148,1129.5
149,1164.9
150,1150.4
151,1191.1
152,1263.7
153,1286.2
154,1277.8
155,1308.3
156,1380.1
157,1430.6
158,1330.4
159,1416.25
160,1360.75
161,1411.0
162,1465.15
163,1380.4
164,1428.15
165,1484.0
166,1431.2
167,1415.65
168,1423.3
169,1452.7
170,1443.55
171,1499.75
172,1468.05
173,1551.6
174,1557.7
175,1600.45
176,1661.6
177,1561.9
178,1614.65
179,1675.15
180,1769.1
181,1769.4
182,1809.55
183,1800.1
184,1819.15
185,1883.7
186,1859.3
187,1900.85
188,1865.65
189,1827.65
190,1848.65
191,1853.85
192,1859.65
193,1866.55
194,1812.45
195,1895.7
196,1951.0
197,2010.85
198,1896.9
199,2106.05
200,2035.7
201,2044.7
202,2028.0
203,2251.2
204,2129.1
205,2015.2
206,2158.9
207,2248.1
208,2219.9
209,2155.9
210,2157.9
211,2171.9
212,2187.9
213,2176.7
214,2211.8
215,2163.4
216,2228.8
217,2406.8
218,2245.1
219,2315.8
220,2216.7
221,2386.0
222,2521.7
223,2611.7
224,2601.6
225,2894.7
226,2840.8
227,2807.9
228,2858.6
229,2617.3
230,2737.6
231,3011.9
232,2817.9
233,2655.6
234,2692.4
235,2785.9
236,2868.4
237,2797.0
238,2785.9
239,2813.2
240,2747.2
241,2653.7
242,2811.9
243,2862.3
244,2773.1
245,2967.2
246,2991.0
247,3091.9
248,3092.2
249,3040.2
250,3113.1
251,3100.7
252,3158.7
253,3094.1
254,3289.7
255,3299.6
256,3545.1
257,3104.3
258,3432.2
259,3221.3
260,3192.2
261,3288.3
262,3199.3
263,3613.0
264,3492.1
265,3701.9
266,3382.7
267,3473.5
268,3496.0
269,3576.3
270,3572.7
271,3733.6
272,3566.6
273,3665.6
274,3855.2
275,3933.6
276,3757.3
277,3886.0
278,3840.5
279,3969.2
280,3852.0
281,3823.9
282,3996.4
283,3883.8
284,3789.8
285,3860.0
286,4039.5
287,4054.3
288,4121.7
289,4252.8
290,4312.4
291,4206.3
292,4320.4
293,4284.8
294,4250.4
295,4347.5
296,4017.8
297,4215.0
298,4354.0
299,4240.4
300,4319.1
301,4378.7
302,4655.8
303,4778.8
304,4409.1
305,4906.1
306,4665.0
307,4637.5
308,4541.0
309,4405.8
310,4802.8
311,5213.2
312,5073.6
313,4776.6
314,4707.9
315,5012.3
316,4938.8
317,4608.8
318,5003.0
319,5193.6
320,4874.3
321,5360.9
322,4877.0
323,5409.3
324,5298.4
325,5806.8
326,5333.0
327,5383.4
328,5774.3
329,5536.5
330,5331.6
331,5354.2
332,5153.0
333,5168.3
334,5252.8
335,5316.4
336,5976.9
337,6145.9
338,5968.7
339,6267.0
340,5929.0
341,6098.7
342,5689.2
343,5944.0
344,5831.7
345,5697.7
346,5578.1
347,6193.6
348,7080.7
349,6319.2
350,6504.7
351,6510.6
352,6544.1
353,6310.7
354,6115.0
355,6097.1
356,5963.6
357,6033.1
358,6113.9
359,6442.1
360,6235.2
361,6084.2
362,6401.0
363,6307.7
364,6236.0
365,6203.6
366,6348.4
367,6605.9
368,6339.4
369,6418.7
370,6488.0
371,6576.7
372,6533.4
373,6433.1
374,6457.9
375,6681.2
376,6790.2
377,6878.0
378,6735.4
379,6967.0
380,6842.2
381,6797.3
382,6884.2
383,6838.8
384,7106.4
385,6615.4
386,7149.1
387,7183.5
388,7281.3
389,7016.2
390,7442.1
391,7206.5
392,7944.3
393,8856.3
394,8655.4
395,7634.6
396,9092.1
397,9108.9
398,8489.9
399,8627.9
400,7946.8
401,8745.1
402,7581.0
403,8585.5
404,8499.9
405,8209.1
406,8168.3
407,8577.4
408,8933.7
409,8394.0
410,8757.7
411,8248.7
412,8659.7
413,8374.0
414,9161.8
415,8193.8
416,8247.4
417,8774.3
418,8309.1
419,9009.4
420,9479.3
421,8291.5
422,8764.0
423,9145.4
424,8457.6
425,9219.9
426,9290.6
427,9058.9
428,8814.5
429,9808.2
430,9103.2
431,9403.6
432,9283.2
433,9801.5
434,9870.7
435,10035.3
436,9228.4
437,10946.7
438,10199.9
439,10896.9
440,9396.6
441,10373.9
442,11169.3
443,10933.5
444,10008.0
