Number_Of_Vertices,Number_Of_Polygons_Before_Merging,Number_Of_Polygons_After_Merging
3,1.0,1.0
4,1.1,1.1
5,2.1,1.9
6,2.7,2.2
7,3.3,2.7
8,4.1,3.3
9,4.1,3.5
10,5.0,4.3
11,5.5,4.5
12,6.2,4.8
13,7.2,6.0
14,7.0,5.9
15,9.0,7.4
16,9.5,7.7
17,9.8,8.0
18,9.4,7.8
19,10.6,8.4
20,11.9,9.8
21,11.5,9.6
22,13.6,10.5
23,13.6,11.2
24,14.8,11.6
25,14.2,11.8
26,15.6,12.9
27,16.7,13.6
28,16.9,14.0
29,19.2,15.5
30,19.3,16.3
31,18.9,15.1
32,20.0,16.3
33,21.6,17.3
34,21.0,17.1
35,21.3,17.5
36,22.6,17.9
37,22.5,18.7
38,22.1,17.8
39,24.1,20.3
40,26.5,21.5
41,26.5,21.9
42,26.5,22.1
43,27.8,23.5
44,29.1,23.5
45,28.4,23.1
46,29.9,24.3
47,30.3,24.7
48,30.7,25.8
49,33.7,26.9
50,33.3,27.4
51,34.1,26.8
52,34.2,27.6
53,33.6,27.8
54,36.8,30.0
55,36.5,30.3
56,37.2,30.0
57,36.8,30.2
58,40.0,31.5
59,39.2,31.8
60,40.2,33.6
61,41.9,34.7
62,40.0,32.5
63,40.4,34.0
64,42.8,35.9
65,43.7,35.1
66,43.8,36.2
67,45.7,36.6
68,44.6,37.2
69,44.3,35.7
70,47.5,39.1
71,49.4,40.9
72,47.3,38.6
73,48.5,40.6
74,51.6,42.4
75,50.7,42.3
76,52.1,43.0
77,49.5,42.0
78,53.8,46.4
79,54.9,43.9
80,52.3,43.5
81,56.7,47.2
82,54.6,45.4
83,56.6,45.9
84,57.8,46.6
85,59.4,49.0
86,58.4,48.2
87,59.9,49.4
88,62.8,51.5
89,61.3,52.5
90,60.6,49.9
91,61.7,51.3
92,63.5,50.9
93,64.2,54.2
94,64.0,53.3
95,64.2,53.7
96,67.3,54.4
97,64.9,55.2
98,65.8,55.0
99,69.5,58.5
100,69.7,58.3
101,70.8,59.8
102,72.4,59.6
103,69.6,57.8
104,72.1,61.1
105,73.8,61.0
106,74.1,62.6
107,72.8,61.3
108,75.2,62.5
109,76.0,62.5
110,76.3,64.1
111,75.0,62.9
112,77.7,65.5
113,79.2,65.4
114,79.5,66.9
115,80.2,66.8
116,80.6,67.2
117,80.8,70.3
118,84.0,70.1
119,81.2,67.5
120,83.9,71.7
121,84.1,68.8
122,83.4,68.6
123,84.6,70.8
124,85.0,72.4
125,85.8,73.4
126,86.7,73.4
127,87.8,74.8
128,86.7,73.3
129,89.5,74.9
130,91.0,76.3
131,92.7,78.0
132,92.9,78.3
133,90.4,76.4
134,95.8,79.8
135,93.7,78.5
136,94.5,78.6
137,97.6,80.1
138,98.4,82.4
139,97.8,82.4
140,96.1,79.7
141,100.1,83.6
142,98.4,84.2
143,101.5,86.2
144,100.4,83.9
145,105.2,89.3
146,102.5,86.5
147,102.6,85.2
148,104.8,88.4
149,103.9,85.7
150,103.9,88.3
151,105.9,89.6
152,106.7,89.8
153,105.0,89.2
154,107.9,91.3
155,110.6,92.8
156,108.7,89.9
157,110.9,92.5
158,110.9,93.7
159,114.2,95.8
160,112.7,95.9
161,113.9,96.3
162,113.5,96.3
163,113.1,95.4
164,114.9,98.5
165,116.2,97.8
166,115.8,97.9
167,115.6,98.8
168,115.0,98.5
169,119.1,100.1
170,117.4,98.9
171,119.6,102.1
172,120.9,102.8
173,118.9,100.9
174,119.1,101.6
175,124.4,104.1
176,122.6,105.0
177,125.1,106.2
178,126.1,106.8
179,127.9,106.6
180,126.4,109.2
181,129.0,108.4
182,129.6,110.6
183,128.6,110.0
184,129.2,110.0
185,128.3,108.0
186,130.3,110.3
187,133.1,114.0
188,133.4,112.1
189,130.5,111.2
190,132.9,110.7
191,134.6,114.7
192,136.2,114.7
193,132.9,113.5
194,138.0,116.3
195,137.8,117.4
196,136.4,116.3
197,141.0,119.0
198,141.7,119.7
199,139.8,119.9
200,141.9,119.2
201,143.2,121.1
202,143.5,120.2
203,145.2,122.3
204,147.2,124.5
205,146.1,124.5
206,144.8,121.1
207,143.4,121.1
208,147.1,125.8
209,148.9,125.4
210,151.1,127.0
211,148.9,124.2
212,149.8,127.8
213,148.1,123.3
214,151.7,130.3
215,150.1,127.3
216,153.8,130.3
217,152.4,127.7
218,156.6,130.9
219,155.5,134.5
220,155.8,130.2
221,156.9,131.5
222,159.7,134.1
223,158.2,134.8
224,157.2,131.4
225,158.9,137.8
226,159.2,135.5
227,161.8,136.8
228,161.5,137.3
229,163.0,139.3
230,164.3,137.8
231,165.3,140.0
232,162.0,136.6
233,167.6,141.2
234,164.9,143.0
235,166.8,141.4
236,167.5,143.2
